"","Year","YamOutput","YamSupply","NonFoodUsage","PostHarvestLoss","FoodLoss","SupplyChainLoss"
"1",1980,5248000,1836800,1837000,3411200,65,1574200
"2",1981,5212000,1824200,1824000,3387800,65,1563800
"3",1982,5385000,1884750,1885000,3500250,65,1615250
"4",1983,4998000,1749300,1749000,3248700,65,1499700
"5",1984,4600000,1610000,1610000,2990000,65,1380000
"6",1985,4738000,1658300,1658000,3079700,65,1421700
"7",1986,5209000,1823150,1823000,3385850,65,1562850
"8",1987,4886000,1710100,1710000,3175900,65,1465900
"9",1988,9132000,3195460,1658000,5936540,65.01,4278540
"10",1989,9609000,3363113,1823000,6245887,65,4422887
"11",1990,13624000,4768400,1710000,8855600,65,7145600
"12",1991,16956000,5934600,3196000,11021400,65,7825400
"13",1992,19781000,6923350,3363000,12857650,65,9494650
"14",1993,21632000,7571200,4768000,14060800,65,9292800
"15",1994,23153000,8103550,5935000,15049450,65,9114450
"16",1995,22818000,7986300,6923000,14831700,65,7908700
"17",1996,23201000,8120350,7571000,15080650,65,7509650
"18",1997,23972000,8390200,8104000,15581800,65,7477800
"19",1998,24768000,8668800,7986000,16099200,65,8113200
"20",1999,25873000,9055550,9056000,16817450,65,7761450
"21",2000,26201000,9170350,9170000,17030650,65,7860650
"22",2001,26232000,9181130,9181000,17050870,65,7869870
"23",2002,27911000,10037460,9500000,17873540,64.04,8373540
"24",2003,29697000,10435900,10350000,19261100,64.86,8911100
"25",2004,31776000,10991910,11250000,20784090,65.41,9534090
"26",2005,3.4e+07,10799700,1.3e+07,23200300,68.24,10200300
"27",2006,36720000,12203860,13500000,24516140,66.77,11016140
"28",2007,31136000,12995120,8800000,18140880,58.26,9340880
"29",2008,35017000,13511510,1.1e+07,21505490,61.41,10505490
"30",2009,29091980,16164390,4200000,12927590,44.44,8727590
"31",2010,37328180,15913420,8e+06,21414760,57.37,13414760
"32",2011,33134172,16479280,9500000,16654892,50.27,7154892
"33",2012,32318900,1.6e+07,1.4e+07,16318900,50.49,2318900
"34",2013,35618420,18225000,14175000,17393420,48.83,3218420
"35",2014,45151589,18241000,13434000,26910589,59.6,13476589
"36",2015,45677939,18728000,13591000,26949939,59,13358939
"37",2016,49384352,18912000,15736000,30472352,61.7,14736352
"38",2017,47934183,19278000,15277000,28656183,59.78,13379183
"39",2018,51040488.3160859,19767130.2791603,14962422.0189293,31273358.0369256,61.27,16310936.0179963
"40",2019,50440520.543805,20240535.80372,14693227.800885,30199984.740085,59.87,15506756.9392
"41",2020,53283666.4386908,20713941.3282797,14434479.8227969,32569725.1104111,61.13,18135245.2876143
"42",2021,52928172.7723849,21187346.8528394,14185772.7121795,31740825.9195455,59.97,17555053.207366
"43",2022,55544203.1483974,21660752.3773991,13946716.8272651,33883450.7709983,61,19936733.9437332
"44",2023,55399698.9392669,22134157.9019588,13716937.6465641,33265541.0373081,60.05,19548603.390744
"45",2024,57819720.9083682,22607563.4265185,13496075.1821134,35212157.4818497,60.9,21716082.2997362
"46",2025,57857307.7671717,23080968.9510782,13283783.4154946,34776338.8160935,60.11,21492555.4005988
"47",2026,60108167.8235578,23554374.4756379,13079729.7557376,36553793.3479199,60.81,23474063.5921823
"48",2027,60302905.4588277,24027780.0001976,12883594.5182603,36275125.4586301,60.15,23391530.9403698
"49",2028,62407773.0388484,24501185.5247573,12695070.4240291,37906587.5140912,60.74,25211517.0900621
"50",2029,62738137.1319353,24974591.049317,12513862.1181538,37763546.0826183,60.19,25249683.9644645
"51",2030,64717008.246125,25447996.5738767,12339685.7071645,39269011.6722483,60.68,26929325.9650837
